rowid,number,state,title,labels_name,labels_id,labels_color,labels_description,commentcount,body,comments_txt,draft,comments_url,created_at,updated_at,user,assignee1,medium,high,high-ish,high not high-ish
1,738,open,Identify functions where arrow as_data_table = FALSE can speed up site selection/analysis,enhancement|datasets/ pins/ AWS/ etc.|speed / performance (see #444)|urgency high-ish but not a bug,4538805068|6343736234|6535412240|7539794549,cfd3d7|0E8A16|e99695|B9463A,"New feature or request|related to data files via pins board, AWS, dataload_ etc.|related to monitoring the app too but mostly about speed / load, profiling, asynch, sessions,, etc.|for high urgency enhancements, to rank them just below high urgency bugs",2,,"@DougMoy please look at attached list of scripts for feasibility of this approach|https://github.com/USEPA/EJAM/tree/issue738SpeedUpSiteSelection
Will make a PR when generic branch is reviewed","For some tasks, arrow queries can work much faster than data.table operations. We want to identify functions where we use arrow datasets already that may benefit from speedups. Start by looking in functions that call `dataload_from_pins` within them - see attached list [scripts_with_dataload_from_pins.txt](https://github.com/user-attachments/files/18675055/scripts_with_dataload_from_pins.txt)

Typically this involves two steps: 
1. reading an arrow file in with `as_data_frame = FALSE`. we now can do this on development through `dataload_from_pins('dataset', return_data_table = FALSE)`
2. applying dplyr's `filter, mutate, select` operations followed by `dplyr::collect()` - see more info here: https://arrow.apache.org/docs/r/articles/data_wrangling.html

Example for site selection: `frs_from_naics`

```
## loads frs dataset
dataload_from_pins('frs')
## loads frs_arrow dataset
dataload_from_pins('frs', return_data_table = FALSE)

microbenchmark::microbenchmark(
  data.table = {
      test_c <- frs_from_naics('112')
    },
  arrow = {
      test_a <- frs_arrow %>% 
                filter(REGISTRY_ID %in% regid_from_naics(naics_from_any('112')$code, id_only=T)) %>% 
                collect()
    },
  times=25
)
# Unit: milliseconds
# expr            min         lq       mean     median         uq       max     neval cld
# data.table  2059.28204 2082.12350 2154.57276 2098.81441 2127.61937 2586.4577    25  a 
# arrow         69.04982   69.62738   80.03024   74.55602   83.03712  120.1646    25   b
```",https://api.github.com/repos/USEPA/EJAM/issues/738/comments,2/5/2025,2/13/2025,mlfurman3,DougMoy,0,1,1,FALSE
2,727,open,Improve messages used when max points uploaded/selected is exceeded,urgency medium,6227894519,FBCA04,,0,,,"When using the app, we have a few inputs that check the number of points uploaded or selected and limit the functionality
- `input$max_pts_map`: stop mapping but can continue analyzing
- `input$max_pts_upload`: disable analysis button if exceeded
- `input$max_pts_select`: disable analysis button if exceeded

More descriptive language is needed in the shiny::validate statements for these situations. Some potential suggestions

- ""Too many locations to display the map. You can still run an analysis."" or

- ""Too many locations have been uploaded. Please choose a file with fewer locations.""

- ""Too many locations have been selected. Please choose a group with fewer locations.""",https://api.github.com/repos/USEPA/EJAM/issues/727/comments,1/28/2025,1/28/2025,mlfurman3,saradelessio-abt,1,0,0,FALSE
3,725,open,"set  use_shapefile_from_any=TRUE, if ready to fix/use newer code in server",refactor|urgency low,6208400114|6227891676,8F13A1|cfd3d7,Rewrite how code works or break into smaller pieces|,0,,,"A chunk of server code was meant to be used once it was working, to replace some server code with a function. It should get cleaned up/used or that chunk should be dropped if appropriate.
see global.R and app_server.R section with this:
```
if (use_shapefile_from_any)

```",https://api.github.com/repos/USEPA/EJAM/issues/725/comments,1/28/2025,2/3/2025,ejanalysis,ParkerJanMalek,0,0,0,FALSE
4,719,open,"delete obsolete branches, update/use those still relevant (to avoid confusion and clutter & incorporate work already done)",enhancement|urgency medium,4538805068|6227894519,cfd3d7|FBCA04,New feature or request|,1,,"Worked on branches that were labeled as mine. I updated older branches that still had relevant work with the development branch and deleted branches that were already merged in/obsolete. Below is a summary for what I did with each branch. 


Issue131, standalone functions for plots in app_server. Still need to add documentation to standalone functions. 
Function of the app shouldn't change with this branch. Updated it from dev and addressed merge conflicts in latest push

Deleted issue180 branch, looks like its already resolved in development

Deleted issue497 branch, already merged in

Issue133 was fips refactoring, decided to close for now and revisit when more fips refactoring would occur. 

issue317 was refactoring all nrow to NROW. Just updated it from dev and addressed merge conflicts in latest push. 

Deleted fixTest_fixcolnames, already merged in.

Deleted issue604, already merged in

issue88NewVersion is optimized version of doaggregate, has open pull request: https://github.com.mcas.ms/USEPA/EJAM/pull/646

Issue595 - added new ejscreen variables pulled from ejscreen api to blockgroupstats. Still need to look at the new data before deciding the next move. Leaving the branch as is.","1. If a branch is obsolete, go ahead and delete it to avoid confusion / clutter.
2. If a branch appears outdated but actually still has useful work on it that was never merged into dev, it should be updated from development and conflicts resolved and either turned into a PR or at least further worked on or noted as being on hold, etc.
 
Attached are 2 screenshots that show a long list of branches and how many commits they are behind and/or ahead of the development branch.

- About 25 branches are hundreds of commits behind development branch, suggesting they have not been worked on for a very long time and may be obsolete or need to be updated/ revived. 
- About 9 branches (as of 1/22/25) that seem to have zero commits ahead of development branch, suggesting they were already merged in but not yet deleted. 
- Another 11 branches are 1 commit ahead of development, so some of those are probably obsolete as well.


![Image](https://github.com/user-attachments/assets/8544e7cf-6629-4d23-9f3d-f6078ac309d9)
![Image](https://github.com/user-attachments/assets/fba08822-0e56-436e-856a-6eab59251086)",https://api.github.com/repos/USEPA/EJAM/issues/719/comments,1/22/2025,1/23/2025,ejanalysis,alex-silverman,1,0,0,FALSE
5,718,open,Update FRS data and scripts that do that,enhancement|urgency medium|datasets/ pins/ AWS/ etc.,4538805068|6227894519|6343736234,cfd3d7|FBCA04|0E8A16,"New feature or request||related to data files via pins board, AWS, dataload_ etc.",4,,"This PR contains updates to the FRS arrow dataset creation scripts and should be safe to integrate.|Need to make sure arrow datasets are updated so lookups and such will work.|> Need to make sure arrow datasets are updated so lookups and such will work.
OK, if not ready to merge in, at least just make a written note (here?) of what scripts /functions would have to be run to do those updates / what locations are the datasets stored at currently that need to be updated and how to update them at those locations. 
is it just USEPA/ejamdata ? are the old AWS and any other pins boards no longer used? 
is the script in EJAM\data-raw\datacreate_0_UPDATE_ALL_DATASETS.R sufficient?|I have now re-run the `data-raw/datacreate_frs_.R` script to re-build the 5 arrow datasets and associated count-based rda files. Still testing out the effects on the app and package.

The updated arrow files are in a PR to the ejamdata repo - need to be merged into main there. That will trigger a GHA to create a new release and then anytime EJAM is loaded or installed by a user, it will pull down the latest files.

Note: the data-raw script failed during the SIC part but ran that individually and worked ok. 

",FALSE,https://api.github.com/repos/USEPA/EJAM/issues/718/comments,1/22/2025,2/12/2025,ejanalysis,none,1,0,0,FALSE
6,715,open,"rerun pkgdown scripts to update the docs website (e.g., changes in ejam2report, etc.)",documentation|enhancement|urgency high-ish but not a bug,4538805066|4538805068|7539794549,C5DEF5|cfd3d7|B9463A,"Improvements or additions to documentation|New feature or request|for high urgency enhancements, to rank them just below high urgency bugs",0,,,"
rerun pkgdown scripts to update the documentation website for ejam2report() and other related functions, and maybe some outputs in some vignettes/articles or the screenshot snapshots of reports that are used there",https://api.github.com/repos/USEPA/EJAM/issues/715/comments,1/22/2025,1/22/2025,ejanalysis,ejanalysis,0,1,1,FALSE
7,714,open,update User Guide screenshots to reflect additional info in summary report,documentation|enhancement|urgency medium,4538805066|4538805068|6227894519,C5DEF5|cfd3d7|FBCA04,Improvements or additions to documentation|New feature or request|,0,,,,https://api.github.com/repos/USEPA/EJAM/issues/714/comments,1/22/2025,2/3/2025,ejanalysis,ejanalysis,1,0,0,FALSE
8,713,open,update example html report in testdata output examples,enhancement|urgency low,4538805068|6227891676,cfd3d7|cfd3d7,New feature or request|,0,,,"rerun scripts to datacreate_ the output example html report - recent PR added more indicators, etc.
",https://api.github.com/repos/USEPA/EJAM/issues/713/comments,1/22/2025,2/3/2025,ejanalysis,mlfurman3,0,0,0,FALSE
9,657,open,add to web app ability to see distribution of scores in each group,enhancement|urgency low|distance-related,4538805068|6227891676|6343333395,cfd3d7|cfd3d7|C2E0C6,New feature or request||related to distances variables or calculations or plots,0,,,"See Advanced vignette about by group by distance. Would need to define explicitly which tables and plots we want to show, out of the options listed in the vignette/article.",https://api.github.com/repos/USEPA/EJAM/issues/657/comments,12/13/2024,12/13/2024,ejanalysis,none,0,0,0,FALSE
10,652,open,polygon-based EJScreen Report functions needed + for webapp,enhancement|urgency low|maps-related|calculate/validate to EJScreen,4538805068|6227891676|6228710425|6343712128,cfd3d7|cfd3d7|C2E0C6|FBCA04,"New feature or request||related to maps|related to errors in numbers, replicating EJScreen stats",0,,,"- First, need at least a very simple way to query ejscreen API with a polygon to get a report on one polygon using the existing API. The existing suite of ejscreenapi-related functions need to be made to handle a shapefile/polygon query of the EJScreen API.

- The web app needs to be able to pull up an EJScreen Report for one polygon when a user clicks the button in the detailed results site by site table. To enable that, see below:
  -  Need to decide what query method works and if url-encoded works. If possible, url-encoded requests for EJScreen API report on polygon would be most consistent with how proximity-based or fips-based EJScreen API reports are obtained. The URL-generating function should create a link to such a report if that is possible (but might not be able to do it via simple url-encoded query, GET vs POST??). If a link can be created that generates such a report, then the results_bysite table output of ejamit, doaggregate, etc. normally have a URL link to EJScreen report - if possible, that should link to such a report for a polygon when appropriate. If it cannot be url-encoded then tabular outputs probably cannot have a working link to polygon-based ejscreenapi report? Same is true for the excel table -- if a link would work, that link needs to be able to pull up an EJScreen Report for one polygon when a user clicks the button in the detailed results site by site table tab. There could be a workaround, possibly, where a unique link is created that does not contain the polygon but somehow is able to use an ID to refer to and obtain the saved or downloadable polygon and then run a report on that via ejscreen api using POST??
  - Need to decide if and how to return the geometry/bounds, not just the tables of numerical results. And how will subsequent functions use that spatial object. Currently it probably just drops the geometry fields returned and/or does not even ask for geometry to be returned?



",https://api.github.com/repos/USEPA/EJAM/issues/652/comments,12/12/2024,1/4/2025,ejanalysis,ParkerJanMalek,0,0,0,FALSE
11,651,open,fix app_server to be able to map FIPS types other than just county and blockgroup,enhancement|urgency medium|maps-related,4538805068|6227894519|6228710425,cfd3d7|FBCA04|C2E0C6,New feature or request||related to maps,0,,,"in app_server.R where it says, ""Download FIPS Boundaries via API"" around line 1590 or so, the code has used shapes_blockgroups_from_bgfips() or shapes_counties_from_countyfips() and warned it cannot handle other types of FIPS shapes. But now there is the function shapes_from_fips() and it should be used in that section to handle mapping any kind of FIPS that it is able to handle.

Not sure that can/how we should handle city/CDP?? check that since it is the most important missing case (along with States).",https://api.github.com/repos/USEPA/EJAM/issues/651/comments,12/11/2024,12/11/2024,ejanalysis,none,1,0,0,FALSE
12,649,open,"EJAM:::datapack('EJAM') fails to sort by size, unless  simple = F",bug|urgency low,4538805065|6227891676,d73a4a|cfd3d7,Something isn't working|,0,,,"sortbysize = T is default but fails if simple = T which is also a default
`
EJAM:::datapack('EJAM', sortbysize = T, simple = F) 
`
**It should always use sortbysize even if simple = T**
",https://api.github.com/repos/USEPA/EJAM/issues/649/comments,12/10/2024,12/10/2024,ejanalysis,ejanalysis,0,0,0,FALSE
13,640,open,change params of ejam2shapefile() or whatever it is renamed to,enhancement|refactor|urgency medium,4538805068|6208400114|6227894519,cfd3d7|8F13A1|FBCA04,New feature or request|Rewrite how code works or break into smaller pieces|,0,,," Change the params, arguments of ejam2shapefile() to match those of shape2zip()",https://api.github.com/repos/USEPA/EJAM/issues/640/comments,12/6/2024,12/10/2024,ejanalysis,ParkerJanMalek,1,0,0,FALSE
14,639,open,"rename shapefile functions to be short, consistent",refactor|urgency low,6208400114|6227891676,8F13A1|cfd3d7,Rewrite how code works or break into smaller pieces|,0,,,"RENAME THESE SHAPEFILE FUNCTIONS AT SOME POINT

**OPTION 1:** 

ejam2shapefile()   
probably should get renamed to 
ejam2zip()  

 shapefile_ in many functions actually means a data object not a file,
so  
shapefile_from_xyz 
probably should get renamed to 
shape_from_xyz()  

 and then we will have 
shape_from_zip() & 
shape2zip() 
 which would be the names for going to or from the object, from or to the zipfile.

**OPTION 2:** 

using new names like
shape_write() &
shape_read() 
 would be names more similar to
sf::st_write() &
sf::st_read() ",https://api.github.com/repos/USEPA/EJAM/issues/639/comments,12/6/2024,1/2/2025,ejanalysis,ParkerJanMalek,0,0,0,FALSE
15,637,open,make ejam2shapfile() handle results of fips analysis like ejam2map() can,enhancement|maps-related|shapefile-related|urgency high-ish but not a bug,4538805068|6228710425|6343756696|7539794549,cfd3d7|C2E0C6|C2E0C6|B9463A,"New feature or request|related to maps|related to polygons/ shapefile/ GIS data/ buffers|for high urgency enhancements, to rank them just below high urgency bugs",0,,,"
```
ejfips <- name2fips(c('Tucson, AZ', 'Cleveland, OH')) 
# City/CDP, so FIPS not neatly mapped to a set of blockgroups exactly filling it

outejfips <- ejamit(fips = ejfips) 
# works for CITY/CDP fips case by downloading polygons
#  (but didn't need to do download if fips was bg, tract, county or state )

mapfastej(outejfips ) # works now for fips case by re-downloading polygons
ejam2map(outejfips) # works now for fips case by re-downloading polygons

shp <- ejam2shapefile(outejfips, save = FALSE) # does not yet work for fips case
```",https://api.github.com/repos/USEPA/EJAM/issues/637/comments,12/6/2024,1/21/2025,ejanalysis,ParkerJanMalek,0,1,1,FALSE
16,612,open,447 add back in urls to acs report,enhancement|urgency low,4538805068|6227891676,cfd3d7|cfd3d7,New feature or request|,0,,,FALSE,https://api.github.com/repos/USEPA/EJAM/issues/612/comments,11/25/2024,1/28/2025,saradelessio-abt,mlfurman3,0,0,0,FALSE
17,595,open,Integration of additional EJScreen variables,calculate/validate to EJScreen|datasets/ pins/ AWS/ etc.,6343712128|6343736234,FBCA04|0E8A16,"related to errors in numbers, replicating EJScreen stats|related to data files via pins board, AWS, dataload_ etc.",2,,"@DougMoy please look into how to add these columns into blockgroupstats|Thought I commented on this, but added new data. Waiting on analysis before next step:

https://github.com/USEPA/EJAM/tree/issue595",We have collected 60~ variables through the EJScreen API that were previously missing in their data releases. These should be integrated into EJAM could be used for analysis summary statistics.,https://api.github.com/repos/USEPA/EJAM/issues/595/comments,11/11/2024,1/27/2025,leeeddie424,DougMoy,0,0,0,FALSE
18,593,open,Optimize manual test script runtime,,,,,0,,,,https://api.github.com/repos/USEPA/EJAM/issues/593/comments,11/5/2024,11/22/2024,leeeddie424,none,0,0,0,FALSE
19,591,open,Read and write data from temp-directory,test|urgency low,6148706060|6227891676,6F7271|cfd3d7,test to be developed|,0,,,"Adjust unit tests so that data files are read from and written to a temp-directory. This should reduce scoping issues, and allow test to be more reproducible. Will need to think about best way to pull data from package. ",https://api.github.com/repos/USEPA/EJAM/issues/591/comments,11/5/2024,11/22/2024,leeeddie424,none,0,0,0,FALSE
20,589,open,Declutter setup script,test|urgency medium,6148706060|6227894519,6F7271|FBCA04,test to be developed|,0,,,This ticket refers to the tests/testthat/setup.R script since this file gets run before each group of unit tests. Want to reduce any long-running tasks (move them into individual test blocks). Ideally this script only loads packages. ,https://api.github.com/repos/USEPA/EJAM/issues/589/comments,11/5/2024,11/22/2024,leeeddie424,none,1,0,0,FALSE
21,576,open,format_ejamit_columns() should use approach in table_signif_round_x100() and branch of that name,refactor|urgency medium,6208400114|6227894519,8F13A1|FBCA04,Rewrite how code works or break into smaller pieces|,0,,,"`table_signif_round_x100()` was drafted to wrap the functions table_signif() table_round() and table_x100() into one step, and is in the branch called table_signif_round_x100  -- see https://github.com/USEPA/EJAM/tree/table_signif_round_x100 

`format_ejamit_columns()` uses a different approach to formatting numbers for display and should be merged with the approach in table_signif_round_x100() that is provided in the branch called table_signif_round_x100

If the approach in format_ejamit_columns.R is better, then table_signif_round_x100 should be updated and the improved version could be used everywhere. 

Also, format_ejamit_columns() and related utilities should be made internal not exported, by adding @keywords internal and removing @export, and that will mean redoing document() and rebuilding the pkgdown site.
",https://api.github.com/repos/USEPA/EJAM/issues/576/comments,10/22/2024,10/23/2024,ejanalysis,ejanalysis,1,0,0,FALSE
22,575,open,Unit test clean up,test|urgency high-ish but not a bug,6148706060|7539794549,6F7271|B9463A,"test to be developed|for high urgency enhancements, to rank them just below high urgency bugs",0,,,"Re-organize and re-write existing EJAM unit tests with the goal of being able to run and evaluate tests better.
 
- Want to cut down on runtime for whole testing suite

- Want to be able to source individual unit testing scripts and tests

- Want to be able to use Rstudio devtools::test() functionality

- [ ] #589
- [x] #590
- [ ] #591
- [x] #592
- [ ] #593",https://api.github.com/repos/USEPA/EJAM/issues/575/comments,10/22/2024,1/28/2025,leeeddie424,mlfurman3,0,1,1,FALSE
23,570,open,Rename `naics_validation`,refactor|urgency low,6208400114|6227891676,8F13A1|cfd3d7,Rewrite how code works or break into smaller pieces|,1,,May need to run devtools::document() after all global search and replaces are complete. This will update the help page.,"Rename `naics_validation` and refactor calls to this function
 
Determined the function works as intended where called in the app, but name is misleading. Should rename to something like `naics_is_nonempty` as the function doesn't actually validate the NAICS input (that is what `naics_is.valid` does)",https://api.github.com/repos/USEPA/EJAM/issues/570/comments,10/15/2024,11/22/2024,mlfurman3,none,0,0,0,FALSE
